"","titulo","titulo original","ano","classificacao","duracao","enredo","nota","diretor","roteristas","poster"
"22","O Silêncio dos Inocentes","Original title: The Silence of the Lambs","1991","14","1h 58m","A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.","8.6","Jonathan Demme","Thomas Harris/Ted Tally","https://m.media-amazon.com/images/M/MV5BMzNkMGM2OWItYmNiYS00YmZhLTg0ZjctOGYxMTE2ODZmNGFiXkEyXkFqcGdeQXVyMTAzMDM4MjM0._V1_.jpg"
"23","O Resgate do Soldado Ryan","Original title: Saving Private Ryan","1998","14","2h 49m","Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.","8.6","Steven Spielberg","Robert Rodat","https://m.media-amazon.com/images/M/MV5BMTYyMDRiNTQtNjY4NC00MWI1LWIyZTAtYjQ1ZDJjMjdkYzM0XkEyXkFqcGdeQXVyODc0OTEyNDU@._V1_.jpg"
"24","Cidade de Deus","Cidade de Deus","2002","18","2h 10m","In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.","8.6","Fernando Meirelles/Kátia Lund","Paulo Lins/Bráulio Mantovani","https://m.media-amazon.com/images/M/MV5BOTMwYjc5ZmItYTFjZC00ZGQ3LTlkNTMtMjZiNTZlMWQzNzI5XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_.jpg"
"25","Interestelar","Original title: Interstellar","2014","10","2h 49m","When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans.","8.7","Christopher Nolan","Jonathan Nolan/Christopher Nolan","https://m.media-amazon.com/images/M/MV5BMzg0NzYyNDMtZTkxMS00NmYzLWJkMDAtMmNlYTY1MTRmM2IwXkEyXkFqcGdeQXVyMTYzMDM0NTU@._V1_.jpg"
"26","A Vida é Bela","Original title: La vita è bella","1997","Livre","1h 56m","When an open-minded Jewish waiter and his son become victims of the Holocaust, he uses a perfect mixture of will, humor and imagination to protect his son from the dangers around their camp.","8.6","Roberto Benigni","Vincenzo Cerami/Roberto Benigni","https://m.media-amazon.com/images/M/MV5BYTY3M2NhODAtMTRiNC00OThlLTg3YTAtNjIwNjU2Zjg1MDFhXkEyXkFqcGdeQXVyMTAyOTE2ODg0._V1_.jpg"
"27","À Espera de um Milagre","Original title: The Green Mile","1999","18","3h 9m","A tale set on death row in a Southern jail, where gentle giant John possesses the mysterious power to heal people's ailments. When the lead guard, Paul, recognizes John's gift, he tries to help stave off the condemned man's execution.","8.6","Frank Darabont","Stephen King/Frank Darabont","https://m.media-amazon.com/images/M/MV5BODM5ODQxYWYtYjViYy00ZTYzLWI2YmQtZDMyYzUzZDE5M2M4XkEyXkFqcGdeQXVyMTAzMDM4MjM0._V1_.jpg"
"28","Star Wars: Episódio IV - Uma Nova Esperança","Original title: Star Wars","1977","Livre","2h 1m","Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.","8.6","George Lucas","George Lucas","https://m.media-amazon.com/images/M/MV5BOTA5NjhiOTAtZWM0ZC00MWNhLThiMzEtZDFkOTk2OTU1ZDJkXkEyXkFqcGdeQXVyMTA4NDI1NTQx._V1_.jpg"
"29","O Exterminador do Futuro 2: O Julgamento Final","Original title: Terminator 2: Judgment Day","1991","14","2h 17m","A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her 10-year old son John from an even more advanced and powerful cyborg.","8.6","James Cameron","James Cameron/William Wisher","https://m.media-amazon.com/images/M/MV5BMGU1NGNiYWUtY2UwYi00OWE5LTliNzItMDUyNzYyNmQ2Njg4XkEyXkFqcGdeQXVyNTk2MDQ0MjA@._V1_.jpg"
"30","De Volta para o Futuro","Original title: Back to the Future","1985","Livre","1h 56m","Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown.","8.5","Robert Zemeckis","Robert Zemeckis/Bob Gale","https://m.media-amazon.com/images/M/MV5BYzA0YTY4NTctYTg2Mi00MzNhLWJiMmYtNjNhMTk1MTBmZDU3XkEyXkFqcGdeQXVyMTAzMDM4MjM0._V1_.jpg"
"31","A Viagem de Chihiro","Original title: Sen to Chihiro no kamikakushi","2001","Livre","2h 5m","During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches and spirits, a world where humans are changed into beasts.","8.6","Hayao Miyazaki","Hayao Miyazaki","https://m.media-amazon.com/images/M/MV5BMjlmZmI5MDctNDE2YS00YWE0LWE5ZWItZDBhYWQ0NTcxNWRhXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_.jpg"
"32","O Pianista","Original title: The Pianist","2002","14","2h 30m","A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.","8.5","Roman Polanski","Ronald Harwood/Wladyslaw Szpilman","https://m.media-amazon.com/images/M/MV5BZTQ5MmY1M2EtNGIwNy00N2E2LTg3YTQtYTZkNjlhYTYwMzk5XkEyXkFqcGdeQXVyMTAzMDM4MjM0._V1_.jpg"
"33","Psicose","Original title: Psycho","1960","14","1h 49m","A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run and checks into a remote motel run by a young man under the domination of his mother.","8.5","Alfred Hitchcock","Joseph Stefano/Robert Bloch","https://m.media-amazon.com/images/M/MV5BY2QzYTNmN2QtMmM3MC00NWRhLThiOWYtZGJkMTEyMjI3YTkxXkEyXkFqcGdeQXVyMTAyOTE2ODg0._V1_.jpg"
"34","Parasita","Original title: Gisaengchung","2019","16","2h 12m","Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.","8.5","Bong Joon Ho","Bong Joon Ho/Han Jin-won","https://m.media-amazon.com/images/M/MV5BYWZjMjk3ZTItODQ2ZC00NTY5LWE0ZDYtZTI3MjcwN2Q5NTVkXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_.jpg"
"35","O Profissional","Original title: Léon","1994","14","1h 50m","12-year-old Mathilda is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade.","8.5","Luc Besson","Luc Besson","https://m.media-amazon.com/images/M/MV5BZjZhNjU0Y2ItNDhmMC00NzhhLWJlMmMtZDAwMWU5MzU3Zjg3XkEyXkFqcGdeQXVyMTAyOTE2ODg0._V1_.jpg"
"36","Gladiador","Original title: Gladiator","2000","14","2h 35m","A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.","8.5","Ridley Scott","David Franzoni/John Logan/William Nicholson","https://m.media-amazon.com/images/M/MV5BZjdiZTI5YTgtZDdiNi00YzhmLTllMWEtZDM1ZjJiMzUyYTc5XkEyXkFqcGdeQXVyMTAyOTE2ODg0._V1_.jpg"
"37","O Rei Leão","Original title: The Lion King","1994","Livre","1h 28m","Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.","8.5","Roger Allers/Rob Minkoff","Irene Mecchi/Jonathan Roberts/Linda Woolverton","https://m.media-amazon.com/images/M/MV5BOWMwNzYzMjAtMDUwMS00YzEyLTlmZGQtNzUwNGVlMDkwNTcwXkEyXkFqcGdeQXVyMTAzMDM4MjM0._V1_.jpg"
"38","A Outra História Americana","Original title: American History X","1998","14","1h 59m","Living a life marked by violence, neo-Nazi Derek finally goes to prison after killing two black youths. Upon his release, Derek vows to change; he hopes to prevent his brother, Danny, who idolizes Derek, from following in his footsteps.","8.5","Tony Kaye","David McKenna","https://m.media-amazon.com/images/M/MV5BMDk4OTcwMjQtOWRiOS00OTM0LWIxZDgtOWFmNjdlYTIyMDc2XkEyXkFqcGdeQXVyMTAyOTE2ODg0._V1_.jpg"
"39","Os Infiltrados","Original title: The Departed","2006","18","2h 31m","An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.","8.5","Martin Scorsese","William Monahan/Alan Mak/Felix Chong","https://m.media-amazon.com/images/M/MV5BYTUxMGZhYjUtYWFiMC00NDE2LTkwMzMtM2U0ZjA4ZTg4MjI1XkEyXkFqcGdeQXVyMTAzMDM4MjM0._V1_.jpg"
"40","Whiplash: Em Busca da Perfeição","Original title: Whiplash","2014","12","1h 46m","A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.","8.5","Damien Chazelle","Damien Chazelle","https://m.media-amazon.com/images/M/MV5BZjZiNTFmNzAtMzFiMi00ZmFmLTkzZDItZWQzNGJkZjk5NGNlXkEyXkFqcGdeQXVyMTAyOTE2ODg0._V1_.jpg"
"41","O Grande Truque","Original title: The Prestige","2006","14","2h 10m","After a tragic accident, two stage magicians in 1890s London engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.","8.5","Christopher Nolan","Jonathan Nolan/Christopher Nolan/Christopher Priest","https://m.media-amazon.com/images/M/MV5BYjljNGQ2OWMtZWI2NC00NGQ5LWE3MTctODg3ZDllNGMxZGZiXkEyXkFqcGdeQXVyMTAzMDM4MjM0._V1_.jpg"
"42","Os Suspeitos","Original title: The Usual Suspects","1995","14","1h 46m","The sole survivor of a pier shoot-out tells the story of how a notorious criminal influenced the events that began with five criminals meeting in a seemingly random police lineup.","8.5","Bryan Singer","Christopher McQuarrie","https://m.media-amazon.com/images/M/MV5BOGE5NDRjNzctZDk2Zi00OGVjLWI4YzgtNzRkMjdjZjRhNmFjXkEyXkFqcGdeQXVyMTAzMDM4MjM0._V1_.jpg"
"43","Casablanca","Casablanca","1942","Livre","1h 42m","A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.","8.5","Michael Curtiz","Julius J. Epstein/Philip G. Epstein/Howard Koch","https://m.media-amazon.com/images/M/MV5BY2IzZGY2YmEtYzljNS00NTM5LTgwMzUtMzM1NjQ4NGI0OTk0XkEyXkFqcGdeQXVyNDYyMDk5MTU@._V1_.jpg"
"44","Túmulo dos Vagalumes","Original title: Hotaru no haka","1988","12","1h 29m","A young boy and his little sister struggle to survive in Japan during World War II.","8.5","Isao Takahata","Akiyuki Nosaka/Isao Takahata","https://m.media-amazon.com/images/M/MV5BNDU1OWExYjYtOTZlMy00MWY5LThkOGMtZjBhNDdiYTY4YTM0XkEyXkFqcGdeQXVyMTAyOTE2ODg0._V1_.jpg"
"45","Harakiri","Original title: Seppuku","1962","16","2h 13m","When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan's integrity.","8.6","Masaki Kobayashi","Yasuhiko Takiguchi/Shinobu Hashimoto","https://m.media-amazon.com/images/M/MV5BYjBmYTQ1NjItZWU5MS00YjI0LTg2OTYtYmFkN2JkMmNiNWVkXkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_.jpg"
"46","Intocáveis","Original title: Intouchables","2011","14","1h 52m","After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.","8.5","Olivier Nakache/Éric Toledano","Olivier Nakache/Éric Toledano/Philippe Pozzo di Borgo","https://m.media-amazon.com/images/M/MV5BMTYxNDA3MDQwNl5BMl5BanBnXkFtZTcwNTU4Mzc1Nw@@._V1_.jpg"
"47","Tempos Modernos","Original title: Modern Times","1936","Livre","1h 27m","The Tramp struggles to live in modern industrial society with the help of a young homeless woman.","8.5","Charles Chaplin","Charles Chaplin","https://m.media-amazon.com/images/M/MV5BYzk1MDkxMWUtMTFmYS00YzA0LWE1YjctZjAxNjUwZTJkNTZkXkEyXkFqcGdeQXVyMDUyOTUyNQ@@._V1_.jpg"
"48","Era uma Vez no Oeste","Original title: C'era una volta il West","1968","14","2h 45m","A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.","8.5","Sergio Leone","Sergio Donati/Sergio Leone/Dario Argento","https://m.media-amazon.com/images/M/MV5BODQ3NDExOGYtMzI3Mi00NWRlLTkwNjAtNjc4MDgzZGJiZTA1XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_.jpg"
"49","Cinema Paradiso","Original title: Nuovo Cinema Paradiso","1988","10","2h 35m","A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist.","8.5","Giuseppe Tornatore","Giuseppe Tornatore/Vanna Paoli","https://m.media-amazon.com/images/M/MV5BM2FhYjEyYmYtMDI1Yy00YTdlLWI2NWQtYmEzNzAxOGY1NjY2XkEyXkFqcGdeQXVyNTA3NTIyNDg@._V1_.jpg"
"50","Janela Indiscreta","Original title: Rear Window","1954","12","1h 52m","A photographer in a wheelchair spies on his neighbors from his Greenwich Village courtyard apartment window, and becomes convinced one of them has committed murder, despite the skepticism of his fashion-model girlfriend.","8.5","Alfred Hitchcock","John Michael Hayes/Cornell Woolrich","https://m.media-amazon.com/images/M/MV5BMjE4YjMxZGEtYTBmMi00OTQwLThjN2EtN2Y0ZGJjMmMxOWM4XkEyXkFqcGdeQXVyMTAyOTE2ODg0._V1_.jpg"
"51","Alien - O 8º Passageiro","Original title: Alien","1979","14","1h 57m","The crew of a commercial spacecraft encounter a deadly lifeform after investigating an unknown transmission.","8.5","Ridley Scott","Dan O'Bannon/Ronald Shusett","https://m.media-amazon.com/images/M/MV5BOGQzZTBjMjQtOTVmMS00NGE5LWEyYmMtOGQ1ZGZjNmRkYjFhXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_.jpg"
"52","Luzes da Cidade","Original title: City Lights","1931","Livre","1h 27m","With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.","8.5","Charles Chaplin","Charles Chaplin/Harry Carr/Harry Crocker","https://m.media-amazon.com/images/M/MV5BY2I4MmM1N2EtM2YzOS00OWUzLTkzYzctNDc5NDg2N2IyODJmXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_.jpg"
"53","Apocalypse Now","Apocalypse Now","1979","16","2h 27m","A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.","8.4","Francis Ford Coppola","John Milius/Francis Ford Coppola/Michael Herr","https://m.media-amazon.com/images/M/MV5BYmQyNTA1ZGItNjZjMi00NzFlLWEzMWEtNWMwN2Q2MjJhYzEyXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_.jpg"
"54","Amnésia","Original title: Memento","2000","16","1h 53m","A man with short-term memory loss attempts to track down his wife's murderer.","8.4","Christopher Nolan","Christopher Nolan/Jonathan Nolan","https://m.media-amazon.com/images/M/MV5BNWQ5YjRkYTEtZWJmNi00ZjhjLWE2YTgtMDE5ODlkNzdhYTRhXkEyXkFqcGdeQXVyMTAyOTE2ODg0._V1_.jpg"
"55","Django Livre","Original title: Django Unchained","2012","16","2h 45m","With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation owner in Mississippi.","8.4","Quentin Tarantino","Quentin Tarantino","https://m.media-amazon.com/images/M/MV5BZGVjNDhlYmQtMzZkMS00ZjkxLTg5Y2MtYzk4ZjI5NzBhMDJmXkEyXkFqcGdeQXVyMTAzMDM4MjM0._V1_.jpg"
"56","Os Caçadores da Arca Perdida","Original title: Raiders of the Lost Ark","1981","Livre","1h 55m","In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before the Nazis can obtain its awesome powers.","8.4","Steven Spielberg","Lawrence Kasdan/George Lucas/Philip Kaufman","https://m.media-amazon.com/images/M/MV5BZWE3OGQwYWMtNjAxMi00YjI4LWI3OWUtZjhkZTgxYjdkZDA4XkEyXkFqcGdeQXVyNzg5MzIyOA@@._V1_.jpg"
"57","WALL·E","WALL·E","2008","Livre","1h 38m","In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind.","8.4","Andrew Stanton","Andrew Stanton/Pete Docter/Jim Reardon","https://m.media-amazon.com/images/M/MV5BMjExMTg5OTU0NF5BMl5BanBnXkFtZTcwMjMxMzMzMw@@._V1_.jpg"
"58","A Vida dos Outros","Original title: Das Leben der Anderen","2006","12","2h 17m","In 1984 East Berlin, an agent of the secret police, conducting surveillance on a writer and his lover, finds himself becoming increasingly absorbed by their lives.","8.4","Florian Henckel von Donnersmarck","Florian Henckel von Donnersmarck","https://m.media-amazon.com/images/M/MV5BZmIxNDBhMTEtMTM0OS00OGM5LTlkZjYtNzNlOTk4MTM0NGQ4XkEyXkFqcGdeQXVyMTAyOTE2ODg0._V1_.jpg"
"59","Crepúsculo dos Deuses","Original title: Sunset Blvd.","1950","Livre","1h 50m","A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.","8.4","Billy Wilder","Charles Brackett/Billy Wilder/D.M. Marshman Jr.","https://m.media-amazon.com/images/M/MV5BMTU0NTkyNzYwMF5BMl5BanBnXkFtZTgwMDU0NDk5MTI@._V1_.jpg"
"60","Glória Feita de Sangue","Original title: Paths of Glory","1957","14","1h 28m","After refusing to attack an enemy position, a general accuses the soldiers of cowardice and their commanding officer must defend them.","8.4","Stanley Kubrick","Stanley Kubrick/Calder Willingham/Jim Thompson","https://m.media-amazon.com/images/M/MV5BMDZmMDQzNTctZDBjNy00MjE5LWFiNjktMmRjMWQxNTZlZjlkXkEyXkFqcGdeQXVyMTAyOTE2ODg0._V1_.jpg"
